,id,day,airline,destination,dest_region,dest_size,boarding_area,dept_time,wait_min,cleanliness,safety,satisfaction
157,1   672,Thursday,AIR FRANCE/KLM,PARIS-DE GAULLE,Europe,Hub,Gates 1-12,12/31/2018,125,Average,Somewhat safe,Neutral
157,2  1856,Sunday,ALASKA,KAHULUI,West US,Small,Gates 50-59,12/31/2018,70,Somewhat clean,Very safe,Somewhat satisfied
157,4   596,Thursday,JETBLUE,BOSTON,East US,Large,Gates 1-12,12/31/2018,87,Clean,Very safe,Very satisfied
157,6  2168,Wednesday,FRONTIER,DENVER,West US,Hub,Gates 20-39,12/31/2018,213,Clean,Very safe,Very satisfied
157,8   871,Tuesday,ALASKA,SEATTLE,West US,Hub,Gates 50-59,12/31/2018,325,Clean,Very safe,Somewhat satisfied
157,9  2880,Friday,EVA AIR,TAIPEI,Asia,Hub,Gates 91-102,12/31/2018,120,Somewhat clean,Very safe,Somewhat satisfied
158,0  2228,Wednesday,AER LINGUS,DUBLIN,Europe,Large,Gates 91-102,12/31/2018,225,Somewhat clean,Very safe,Somewhat satisfied
158,1  3044,Tuesday,UNITED,PORTLAND,West US,Medium,Gates 70-90,12/31/2018,190,Average,Somewhat safe,Neutral
158,2  1860,Tuesday,UNITED,LOS ANGELES,West US,Hub,Gates 60-69,12/31/2018,85,Average,Somewhat safe,Neutral
158,3  1945,Tuesday,UNITED,BOSTON,East US,Large,Gates 70-90,12/31/2018,145,Somewhat clean,Very safe,Somewhat satisfied
158,4  2573,Saturday,INTERJET,GUADALAJARA,Canada/Mexico,Medium,Gates 1-12,12/31/2018,105,Clean,Very safe,Very satisfied
158,5  2238,Wednesday,AER LINGUS,DUBLIN,Europe,Large,Gates 91-102,12/31/2018,195,Somewhat clean,Neutral,Neutral
158,6  2786,Sunday,WOW,REYKJAVIK,Europe,Small,Gates 1-12,12/31/2018,265,Somewhat clean,Somewhat safe,Somewhat satisfied
158,7  2148,Wednesday,FRONTIER,DENVER,West US,Hub,Gates 20-39,12/31/2018,115,Somewhat clean,Somewhat safe,Somewhat satisfied
158,9  2335,Thursday,AMERICAN,CHICAGO-O'HARE,Midwest US,Hub,Gates 50-59,12/31/2018,119,Clean,Somewhat safe,Very satisfied
159,0   318,Thursday,UNITED,BURBANK,West US,Small,Gates 70-90,12/31/2018,250,Somewhat clean,Somewhat safe,Somewhat satisfied
159,1   674,Thursday,AIR FRANCE/KLM,PARIS-DE GAULLE,Europe,Hub,Gates 1-12,12/31/2018,115,Clean,Somewhat safe,Neutral
159,2   495,Sunday,ALASKA,PORTLAND,West US,Medium,Gates 50-59,12/31/2018,118,Clean,Very safe,Very satisfied
159,3  3233,Thursday,ALASKA,PORTLAND,West US,Medium,Gates 50-59,12/31/2018,220,Clean,Very safe,Somewhat satisfied
159,4  1941,Saturday,AIR FRANCE/KLM,PARIS-DE GAULLE,Europe,Hub,Gates 1-12,12/31/2018,155,Average,Somewhat safe,Neutral
159,5  1025,Friday,AIR CANADA,VANCOUVER,Canada/Mexico,Medium,Gates 91-102,12/31/2018,155,Somewhat clean,Somewhat safe,Neutral
159,6  2968,Wednesday,AMERICAN,CHARLOTTE,East US,Hub,Gates 50-59,12/31/2018,60,Somewhat clean,Very unsafe,Very satisfied
159,7  3185,Thursday,DELTA,LOS ANGELES,West US,Hub,Gates 40-48,12/31/2018,60,Somewhat clean,Very safe,Somewhat satisfied
159,8  3222,Thursday,ALASKA,PORTLAND,West US,Medium,Gates 50-59,12/31/2018,130,Somewhat clean,Very safe,Somewhat satisfied
160,0  1684,Saturday,CATHAY PACIFIC,HONG KONG,Asia,Hub,Gates 1-12,12/31/2018,275,Clean,Somewhat safe,Very satisfied
160,1   849,Tuesday,ALASKA,PORTLAND,West US,Medium,Gates 50-59,12/31/2018,112,Somewhat clean,Very safe,Somewhat satisfied
160,2  9001,Wednesday,UNITED,AUSTIN,Midwest US,Medium,Gates 70-90,12/31/2018,135,Average,Very safe,Neutral
160,3   765,Thursday,AIR CANADA,TORONTO,Canada/Mexico,Hub,Gates 91-102,12/31/2018,130,Clean,Very safe,Somewhat satisfied
160,4  2808,Thursday,DELTA,LOS ANGELES,West US,Hub,Gates 40-48,12/31/2018,190,Somewhat clean,Very safe,Somewhat satisfied
160,5  2908,Friday,TURKISH AIRLINES,ISTANBUL,Middle East,Hub,Gates 91-102,12/31/2018,165,Average,Neutral,Neutral
160,7   612,Thursday,JETBLUE,BOSTON,East US,Large,Gates 1-12,12/31/2018,192,Clean,Very safe,Somewhat satisfied
160,8  2127,Wednesday,FRONTIER,DENVER,West US,Hub,Gates 20-39,12/31/2018,153,Somewhat clean,Somewhat unsafe,Somewhat satisfied
160,9  1608,Thursday,VIRGIN ATLANTIC,LONDON HEATHROW,Europe,Hub,Gates 1-12,12/31/2018,230,Somewhat clean,Very safe,Very satisfied
161,0  2800,Thursday,DELTA,SALT LAKE CITY,West US,Medium,Gates 40-48,12/31/2018,155,Somewhat clean,Somewhat safe,Neutral
161,2   666,Friday,UNITED INTL,MUNICH,Europe,Hub,Gates 91-102,12/31/2018,235,Somewhat clean,Somewhat safe,Somewhat satisfied
161,3   768,Sunday,ALASKA,NEW YORK-JFK,East US,Hub,Gates 50-59,12/31/2018,150,Clean,Very safe,Very satisfied
161,4  3126,Sunday,ALASKA,NEWARK,East US,Hub,Gates 50-59,12/31/2018,72,Somewhat clean,Somewhat safe,Somewhat satisfied
161,5  2011,Friday,AIR FRANCE/KLM,PARIS-DE GAULLE,Europe,Hub,Gates 1-12,12/31/2018,125,Clean,Somewhat safe,Very satisfied
161,6    12,Tuesday,SOUTHWEST,LOS ANGELES,West US,Hub,Gates 20-39,12/31/2018,80,Average,Somewhat safe,Neutral
161,8   905,Tuesday,ALASKA,RALEIGH-DURHAM,East US,Medium,Gates 50-59,12/31/2018,130,Somewhat clean,Very safe,Somewhat satisfied
161,9   903,Tuesday,ALASKA,RALEIGH-DURHAM,East US,Medium,Gates 50-59,12/31/2018,280,Somewhat clean,Very safe,Very satisfied
162,0  1117,Thursday,DELTA,MINNEAPOLIS-ST. PAUL,Midwest US,Hub,Gates 40-48,12/31/2018,405,Somewhat clean,Very safe,Very satisfied
162,1  1110,Tuesday,SOUTHWEST,SAN DIEGO,West US,Medium,Gates 20-39,12/31/2018,130,Clean,Very safe,Very satisfied
162,2  1915,Saturday,AIR FRANCE/KLM,PARIS-DE GAULLE,Europe,Hub,Gates 1-12,12/31/2018,245,Somewhat clean,Somewhat safe,Somewhat satisfied
162,3  1265,Thursday,CATHAY PACIFIC,HONG KONG,Asia,Hub,Gates 1-12,12/31/2018,215,Somewhat clean,Somewhat safe,Somewhat satisfied
162,4   815,Sunday,ALASKA,PORTLAND,West US,Medium,Gates 50-59,12/31/2018,140,Average,Neutral,Neutral
162,5   948,Thursday,AIR CANADA,VANCOUVER,Canada/Mexico,Medium,Gates 91-102,12/31/2018,120,Somewhat clean,Very safe,Somewhat satisfied
162,7  1467,Tuesday,ALASKA,NEW YORK-JFK,East US,Hub,Gates 50-59,12/31/2018,70,Clean,Very safe,Very satisfied
162,8  2094,Thursday,AMERICAN,PHILADELPHIA,East US,Large,Gates 50-59,12/31/2018,87,Clean,Very safe,Very satisfied
163,1  2754,Wednesday,AIR FRANCE/KLM,PARIS-DE GAULLE,Europe,Hub,Gates 1-12,12/31/2018,240,Somewhat clean,Somewhat safe,Somewhat satisfied
163,2  2553,Saturday,JETBLUE,BOSTON,East US,Large,Gates 1-12,12/31/2018,120,Somewhat clean,Somewhat safe,Somewhat satisfied
163,3  2608,Saturday,AEROMEXICO,MEXICO CITY,Canada/Mexico,Hub,Gates 1-12,12/31/2018,125,Average,Somewhat safe,Neutral
163,4  3059,Sunday,PHILIPPINE AIRLINES,MANILA,Asia,Medium,Gates 1-12,1/1/2018,275,Somewhat clean,Somewhat safe,Somewhat satisfied
163,5  1515,Wednesday,DELTA,LOS ANGELES,West US,Hub,Gates 40-48,12/31/2018,45,Clean,Very safe,Somewhat satisfied
163,6  1955,Saturday,AIR FRANCE/KLM,PARIS-DE GAULLE,Europe,Hub,Gates 1-12,12/31/2018,155,Somewhat clean,Somewhat safe,Somewhat satisfied
163,7   974,Friday,LUFTHANSA,MUNICH,Europe,Hub,Gates 91-102,12/31/2018,175,Somewhat clean,Somewhat safe,Somewhat satisfied
163,8   527,Thursday,EMIRATES,DUBAI,Middle East,Hub,Gates 1-12,12/31/2018,165,Clean,Very safe,Neutral
163,9  2619,Saturday,INTERJET,GUADALAJARA,Canada/Mexico,Medium,Gates 1-12,12/31/2018,165,Average,Neutral,Very satisfied
164,0   437,Sunday,UNITED,HONOLULU,West US,Medium,Gates 70-90,12/31/2018,185,Somewhat clean,Very safe,Somewhat satisfied
164,1   271,Thursday,UNITED,LOS ANGELES,West US,Hub,Gates 70-90,12/31/2018,80,Clean,Somewhat safe,Somewhat satisfied
164,2  2149,Wednesday,AIR CANADA,VANCOUVER,Canada/Mexico,Medium,Gates 91-102,12/31/2018,85,Clean,Very safe,Very satisfied
164,3   755,Thursday,AIR CANADA,TORONTO,Canada/Mexico,Hub,Gates 91-102,12/31/2018,145,Clean,Very safe,Very satisfied
164,4  2934,Tuesday,SOUTHWEST,SAN DIEGO,West US,Medium,Gates 20-39,12/31/2018,15,Somewhat clean,Very safe,Somewhat satisfied
164,5  2389,Wednesday,UNITED INTL,BEIJING,Asia,Hub,Gates 91-102,12/31/2018,285,Clean,Somewhat safe,Somewhat satisfied
164,6  1959,Tuesday,UNITED,BOSTON,East US,Large,Gates 70-90,12/31/2018,85,Somewhat clean,Very safe,Somewhat satisfied
164,7  1796,Sunday,ALASKA,RALEIGH-DURHAM,East US,Medium,Gates 50-59,12/31/2018,145,Somewhat clean,Somewhat safe,Somewhat satisfied
164,8  2189,Wednesday,AER LINGUS,DUBLIN,eur,Large,Gates 91-102,12/31/2018,210,Somewhat clean,Very safe,Somewhat satisfied
164,9  2667,Saturday,AEROMEXICO,MEXICO CITY,Canada/Mexico,Hub,Gates 1-12,12/31/2018,155,Clean,Very safe,Neutral
165,0  1136,Tuesday,SOUTHWEST,LOS ANGELES,West US,Hub,Gates 20-39,12/31/2018,70,Average,Somewhat safe,Somewhat satisfied
165,1  2098,Friday,JETBLUE,LONG BEACH,West US,Small,Gates 1-12,12/31/2018,159,Clean,Very safe,Somewhat satisfied
165,2  2818,Thursday,DELTA,LOS ANGELES,West US,Hub,Gates 40-48,12/31/2018,610,Clean,Very safe,Somewhat satisfied
165,4   650,Tuesday,ALASKA,WASHINGTON DC-DULLES,East US,Medium,Gates 50-59,12/31/2018,120,Average,Very safe,Neutral
165,5  1032,Friday,AIR CANADA,VANCOUVER,Canada/Mexico,Medium,Gates 91-102,12/31/2018,95,Somewhat clean,Very safe,Neutral
165,6  3019,Tuesday,UNITED,PORTLAND,West US,Medium,Gates 70-90,12/31/2018,362,Average,Neutral,Somewhat satisfied
165,7  3029,Tuesday,AMERICAN,DALLAS-FT. WORTH,Midwest US,Hub,Gates 50-59,12/31/2018,110,Clean,Very safe,Very satisfied
165,8   893,Friday,AIR CANADA,TORONTO,Canada/Mexico,Hub,Gates 91-102,12/31/2018,150,Clean,Very safe,Very satisfied
165,9  2272,Saturday,UNITED,BAKERSFIELD,West US,Small,Gates 70-90,12/31/2018,88,Somewhat clean,Very safe,Somewhat satisfied
166,0  2009,Friday,AIR FRANCE/KLM,PARIS-DE GAULLE,Europe,Hub,Gates 1-12,12/31/2018,205,Clean,Somewhat safe,Neutral
166,1  1443,Wednesday,FRONTIER,DENVER,West US,Hub,Gates 20-39,1/1/2018,179,Clean,Very safe,Very satisfied
166,2  1586,Wednesday,UNITED INTL,HONG KONG,Asia,Hub,Gates 91-102,12/31/2018,240,Clean,Very safe,Very satisfied
166,3  1269,Thursday,CATHAY PACIFIC,HONG KONG,Asia,Hub,Gates 1-12,12/31/2018,165,Average,Neutral,Somewhat satisfied
166,4   733,Thursday,AIR FRANCE/KLM,PARIS-DE GAULLE,Europe,Hub,Gates 1-12,12/31/2018,155,Average,Somewhat safe,Neutral
166,5  1615,Thursday,VIRGIN ATLANTIC,LONDON HEATHROW,Europe,Hub,Gates 1-12,12/31/2018,230,Clean,Very safe,Somewhat satisfied
166,6  2139,Wednesday,FRONTIER,DENVER,West US,Hub,Gates 20-39,12/31/2018,153,Clean,Neutral,Somewhat satisfied
166,7   361,Friday,LUFTHANSA,FRANKFURT,Europe,Hub,Gates 91-102,12/31/2018,145,Somewhat clean,Very safe,Somewhat satisfied
166,8  2034,Wednesday,UNITED,NEWARK,EAST US,Hub,Gates 70-90,12/31/2018,90,Somewhat clean,Very safe,Somewhat satisfied
166,9   260,Friday,AIR CANADA,TORONTO,Canada/Mexico,Hub,Gates 91-102,12/31/2018,105,Clean,Very safe,Somewhat satisfied
167,0  3078,Sunday,PHILIPPINE AIRLINES,MANILA,Asia,Medium,Gates 1-12,1/1/2018,230,Somewhat clean,Neutral,Somewhat satisfied
167,2  1494,Wednesday,HAWAIIAN AIR,HONOLULU,West US,Medium,Gates 1-12,12/31/2018,90,Somewhat clean,Very safe,Somewhat satisfied
167,3  1809,Sunday,ALASKA,RALEIGH-DURHAM,East US,Medium,Gates 50-59,12/31/2018,70,Somewhat clean,Neutral,Somewhat satisfied
167,4  2614,Saturday,INTERJET,GUADALAJARA,Canada/Mexico,Medium,Gates 1-12,12/31/2018,165,Somewhat clean,Somewhat safe,Somewhat satisfied
167,5   822,Sunday,ALASKA,NASHVILLE,Midwest US,Medium,Gates 50-59,12/31/2018,156,Somewhat clean,Very safe,Neutral
167,6   225,Wednesday,AMERICAN,LOS ANGELES,West US,Hub,Gates 50-59,12/31/2018,160,Clean,Very safe,Somewhat satisfied
167,7  2187,Wednesday,QANTAS,SYDNEY,Australia/New Zealand,Hub,Gates 1-12,12/31/2018,195,Somewhat clean,Somewhat safe,Neutral
167,8  1650,Saturday,VIRGIN ATLANTIC,LONDON HEATHROW,Europe,Hub,Gates 1-12,12/31/2018,170,Clean,Somewhat safe,Somewhat satisfied
167,9  3270,Tuesday,UNITED,LAS VEGAS,West US,Hub,Gates 70-90,12/31/2018,130,Average,Very safe,Somewhat satisfied
168,0  2267,Saturday,UNITED,BAKERSFIELD,West US,Small,Gates 70-90,12/31/2018,118,Somewhat clean,Very safe,Somewhat satisfied
168,1   388,Friday,ALASKA,LOS ANGELES,West US,Hub,Gates 50-59,12/31/2018,100,Somewhat clean,Very safe,Somewhat satisfied
168,2  2744,Friday,UNITED,KAHULUI,West US,Small,Gates 60-69,12/31/2018,92,Somewhat clean,Neutral,Somewhat satisfied
168,3  1057,Friday,AIR CANADA,CALGARY,Canada/Mexico,Medium,Gates 91-102,12/31/2018,295,Clean,Somewhat safe,Somewhat satisfied
168,4  2192,Thursday,SOUTHWEST,LAS VEGAS,West US,Hub,Gates 20-39,12/31/2018,180,Clean,Very safe,Very satisfied
168,5  2644,Tuesday,JETBLUE,NEW YORK-JFK,East US,Hub,Gates 1-12,12/31/2018,120,Average,Somewhat safe,Somewhat satisfied
168,7  1205,Tuesday,SOUTHWEST,LAS VEGAS,West US,Hub,Gates 20-39,12/31/2018,60,Clean,Somewhat safe,Somewhat satisfied
168,8   724,Wednesday,CATHAY PACIFIC,HONG KONG,Asia,Hub,Gates 1-12,12/31/2018,227,Somewhat clean,Very safe,Somewhat satisfied
168,9  2095,Friday,JETBLUE,LONG BEACH,West US,Small,Gates 1-12,12/31/2018,139,Clean,Very safe,Somewhat satisfied
169,0  1318,Tuesday,UNITED INTL,LONDON HEATHROW,eur,Hub,Gates 91-102,12/31/2018,140,Clean,Neutral,Somewhat satisfied
169,1   997,Friday,LUFTHANSA,MUNICH,Europe,Hub,Gates 91-102,12/31/2018,85,Somewhat clean,Somewhat safe,Somewhat satisfied
169,2  1202,Tuesday,SOUTHWEST,LAS VEGAS,West US,Hub,Gates 20-39,12/31/2018,40,Average,Neutral,Neutral
169,3  1911,Saturday,AIR FRANCE/KLM,PARIS-DE GAULLE,Europe,Hub,Gates 1-12,12/31/2018,125,Average,Neutral,Neutral
169,5   300,Thursday,UNITED,SAN DIEGO,West US,Medium,Gates 70-90,12/31/2018,152,Somewhat clean,Very safe,Somewhat satisfied
169,6  2312,Thursday,AMERICAN,CHICAGO-O'HARE,Midwest US,Hub,Gates 50-59,12/31/2018,165,Somewhat clean,Somewhat safe,Somewhat satisfied
169,7  3281,Wednesday,SOUTHWEST,DENVER,West US,Hub,Gates 20-39,12/31/2018,125,Somewhat clean,Very safe,Neutral
169,8   830,Sunday,ALASKA,NASHVILLE,Midwest US,Medium,Gates 50-59,12/31/2018,246,Somewhat clean,Very safe,Somewhat unsatisfied
169,9  2645,Tuesday,UNITED,CHICAGO-O'HARE,Midwest US,Hub,Gates 60-69,12/31/2018,120,Clean,Very safe,Very satisfied
170,1  2866,Wednesday,UNITED,WASHINGTON DC-DULLES,East US,Medium,Gates 70-90,12/31/2018,87,Somewhat clean,Very safe,Somewhat satisfied
170,2   400,Saturday,UNITED,PHOENIX,West US,Hub,Gates 70-90,12/31/2018,115,Clean,Very safe,Very satisfied
170,3  1857,Sunday,ALASKA,KAHULUI,West US,Small,Gates 50-59,12/31/2018,115,Somewhat clean,Somewhat safe,Neutral
170,4   357,Friday,LUFTHANSA,FRANKFURT,Europe,Hub,Gates 91-102,12/31/2018,150,Somewhat clean,Somewhat safe,Somewhat satisfied
170,5  2615,Saturday,AEROMEXICO,MEXICO CITY,Canada/Mexico,Hub,Gates 1-12,12/31/2018,245,Average,Neutral,Neutral
170,6   204,Wednesday,AMERICAN,LOS ANGELES,West US,Hub,Gates 50-59,12/31/2018,130,Average,Very safe,Neutral
170,7  2729,Wednesday,AIR FRANCE/KLM,PARIS-DE GAULLE,Europe,Hub,Gates 1-12,12/31/2018,105,Clean,Very safe,Very satisfied
170,8   301,Wednesday,SOUTHWEST,LOS ANGELES,West US,Hub,Gates 20-39,12/31/2018,95,Average,Somewhat safe,Somewhat satisfied
170,9  2198,Thursday,CATHAY PACIFIC,HONG KONG,Asia,Hub,Gates 1-12,12/31/2018,120,Average,Neutral,Neutral
171,0  2492,Friday,UNITED,DENVER,West US,Hub,Gates 70-90,12/31/2018,56,Somewhat clean,Very safe,Somewhat satisfied
171,1  1390,Tuesday,UNITED INTL,PARIS-DE GAULLE,Europe,Hub,Gates 91-102,12/31/2018,165,Clean,Very safe,Very satisfied
171,2  2509,Friday,ALASKA,SALT LAKE CITY,West US,Medium,Gates 1-12,12/31/2018,75,Clean,Very safe,Very satisfied
171,3  1694,Sunday,ALASKA,SANTA ANA,West US,Medium,Gates 50-59,12/31/2018,292,Clean,Very safe,Very satisfied
171,4  1427,Saturday,UNITED,KANSAS CITY,Midwest US,Medium,Gates 70-90,12/31/2018,60,Average,Somewhat safe,Neutral
171,5  3247,Wednesday,AMERICAN,PHOENIX,West US,Hub,Gates 50-59,12/31/2018,425,Clean,Very safe,Very satisfied
171,6   969,Friday,LUFTHANSA,MUNICH,eur,Hub,Gates 91-102,12/31/2018,235,Somewhat clean,Somewhat safe,Neutral
171,7  2064,Friday,UNITED,NEWARK,East US,Hub,Gates 70-90,12/31/2018,135,Clean,Somewhat safe,Somewhat satisfied
171,8  1434,Wednesday,FRONTIER,DENVER,West US,Hub,Gates 20-39,1/1/2018,209,Clean,Very unsafe,Somewhat satisfied
171,9  1066,Friday,AIR CANADA,CALGARY,Canada/Mexico,Medium,Gates 91-102,12/31/2018,235,Clean,Very safe,Very satisfied
172,0   267,Friday,AIR CANADA,TORONTO,Canada/Mexico,Hub,Gates 91-102,12/31/2018,175,Somewhat clean,Somewhat safe,Somewhat satisfied
172,1  2017,Friday,BRITISH AIRWAYS,LONDON HEATHROW,Europe,Hub,Gates 1-12,12/31/2018,90,Somewhat clean,Neutral,Somewhat satisfied
172,3  1768,Thursday,AMERICAN,CHICAGO-O'HARE,Midwest US,Hub,Gates 50-59,12/31/2018,95,Somewhat clean,Somewhat safe,Somewhat satisfied
172,4  1728,Monday,AIR CANADA,TORONTO,Canada/Mexico,Hub,Gates 91-102,12/31/2018,390,Somewhat clean,Somewhat safe,Neutral
172,5  3049,Tuesday,AMERICAN,LOS ANGELES,West US,Hub,Gates 50-59,12/31/2018,80,Clean,Very safe,Very satisfied
172,6  1408,Saturday,UNITED,KANSAS CITY,Midwest US,Medium,Gates 70-90,12/31/2018,169,Somewhat clean,Somewhat safe,Somewhat satisfied
172,7  2898,Sunday,WOW,REYKJAVIK,Europe,Small,Gates 1-12,12/31/2018,175,Somewhat clean,Somewhat safe,Somewhat satisfied
172,8  2511,Friday,ALASKA,SALT LAKE CITY,West US,Medium,Gates 1-12,12/31/2018,120,Average,Somewhat safe,Somewhat satisfied
173,0  3240,Wednesday,AMERICAN,PHOENIX,West US,Hub,Gates 50-59,12/31/2018,155,Somewhat clean,Very safe,Neutral
173,1     4,Tuesday,SOUTHWEST,LOS ANGELES,West US,Hub,Gates 20-39,12/31/2018,75,Somewhat clean,Somewhat safe,Neutral
173,2   334,Wednesday,SOUTHWEST,PHOENIX,West US,Hub,Gates 20-39,12/31/2018,200,Somewhat clean,Somewhat safe,Neutral
173,3  3113,Sunday,ALASKA,NEWARK,East US,Hub,Gates 50-59,12/31/2018,110,Average,Very safe,Neutral
173,4  1457,Saturday,UNITED,PORTLAND,West US,Medium,Gates 70-90,12/31/2018,85,Clean,Very safe,Somewhat satisfied
173,5  2652,Tuesday,SOUTHWEST,DENVER,West US,Hub,Gates 20-39,12/31/2018,80,Clean,Very safe,Somewhat satisfied
173,6  1391,Tuesday,UNITED INTL,SHANGHAI,Asia,Hub,Gates 91-102,12/31/2018,105,Clean,Very safe,Very satisfied
173,7  3187,Thursday,DELTA,LOS ANGELES,West US,Hub,Gates 40-48,12/31/2018,345,Somewhat clean,Somewhat safe,Neutral
173,8  3056,Tuesday,AMERICAN,MIAMI,East US,Hub,Gates 50-59,12/31/2018,245,Somewhat clean,Very safe,Very satisfied
173,9  2891,Wednesday,UNITED,AUSTIN,Midwest US,Medium,Gates 70-90,12/31/2018,210,Clean,Very safe,Very satisfied
174,0   878,Tuesday,ALASKA,SEATTLE,West US,Hub,Gates 50-59,12/31/2018,115,Clean,Very safe,Very satisfied
174,1  1808,Monday,UNITED INTL,LONDON HEATHROW,eur,Hub,Gates 91-102,12/31/2018,155,Somewhat clean,Somewhat safe,Somewhat satisfied
174,2  2779,Sunday,WOW,REYKJAVIK,Europe,Small,Gates 1-12,12/31/2018,145,Clean,Very safe,Very satisfied
174,3   604,Thursday,JETBLUE,BOSTON,East US,Large,Gates 1-12,12/31/2018,282,Somewhat clean,Somewhat safe,Somewhat satisfied
174,4  2449,Tuesday,JETBLUE,BOSTON,East US,Large,Gates 1-12,12/31/2018,87,Average,Somewhat safe,Somewhat satisfied
174,6  1759,Monday,LUFTHANSA,MUNICH,eur,Hub,Gates 91-102,12/31/2018,295,Somewhat clean,Somewhat safe,Somewhat satisfied
174,7  2396,Wednesday,UNITED INTL,SYDNEY,Australia/New Zealand,Hub,Gates 91-102,12/31/2018,125,Somewhat clean,Very safe,Somewhat satisfied
174,8  1206,Tuesday,SOUTHWEST,LAS VEGAS,West US,Hub,Gates 20-39,12/31/2018,165,Average,Neutral,Somewhat satisfied
175,0  2119,Monday,UNITED INTL,MEXICO CITY,Canada/Mexico,Hub,Gates 91-102,12/31/2018,160,Clean,Very safe,Somewhat satisfied
175,1  2015,Friday,BRITISH AIRWAYS,LONDON HEATHROW,Europe,Hub,Gates 1-12,12/31/2018,225,Clean,Somewhat safe,Somewhat unsatisfied
175,2  2047,Friday,BRITISH AIRWAYS,LONDON HEATHROW,eur,Hub,Gates 1-12,12/31/2018,180,Somewhat clean,Very safe,Somewhat satisfied
175,3  2217,Thursday,CATHAY PACIFIC,HONG KONG,Asia,Hub,Gates 1-12,12/31/2018,180,Average,Neutral,Somewhat satisfied
175,4  1259,Thursday,UNITED INTL,TOKYO-NARITA,Asia,Hub,Gates 91-102,12/31/2018,270,Somewhat clean,Neutral,Somewhat satisfied
175,5  1939,Saturday,AIR FRANCE/KLM,PARIS-DE GAULLE,Europe,Hub,Gates 1-12,12/31/2018,185,Somewhat clean,Somewhat safe,Very satisfied
175,6  1555,Wednesday,DELTA,ATLANTA,EAST US,Hub,Gates 40-48,12/31/2018,105,Somewhat clean,Somewhat safe,Neutral
175,7  1642,Saturday,VIRGIN ATLANTIC,LONDON HEATHROW,Europe,Hub,Gates 1-12,12/31/2018,170,Average,Very safe,Somewhat satisfied
175,8  2300,Thursday,AMERICAN,CHICAGO-O'HARE,Midwest US,Hub,Gates 50-59,12/31/2018,120,Clean,Somewhat safe,Very satisfied
175,9  1461,Tuesday,ALASKA,NEW YORK-JFK,East US,Hub,Gates 50-59,12/31/2018,340,Average,Somewhat safe,Neutral
176,0  2206,Wednesday,AER LINGUS,DUBLIN,Europe,Large,Gates 91-102,12/31/2018,210,Clean,Somewhat safe,Somewhat satisfied
176,1  1742,Saturday,CATHAY PACIFIC,HONG KONG,Asia,Hub,Gates 1-12,12/31/2018,215,Clean,Very safe,Very satisfied
176,4  1448,Saturday,UNITED,PORTLAND,West US,Medium,Gates 70-90,12/31/2018,160,Somewhat clean,Somewhat safe,Very satisfied
176,5  1248,Thursday,CHINA EASTERN,SHANGHAI,Asia,Hub,Gates 1-12,12/31/2018,140,Somewhat clean,Somewhat safe,Somewhat satisfied
176,7  3079,Sunday,COPA,PANAMA CITY,Central/South America,Medium,Gates 1-12,12/31/2018,193,Clean,Somewhat safe,Somewhat satisfied
176,8  2962,Tuesday,AMERICAN,NEW YORK-JFK,East US,Hub,Gates 50-59,12/31/2018,115,Somewhat clean,Somewhat safe,Somewhat satisfied
176,9   567,Thursday,ALASKA,SEATTLE,West US,Hub,Gates 50-59,12/31/2018,60,Somewhat clean,Somewhat safe,Neutral
177,0  3246,Wednesday,AMERICAN,PHOENIX,West US,Hub,Gates 50-59,12/31/2018,95,Clean,Neutral,Somewhat satisfied
177,1  1627,Thursday,KOREAN AIR,SEOUL,Asia,Hub,Gates 1-12,12/31/2018,225,Clean,Very safe,Somewhat satisfied
177,2  1749,Monday,LUFTHANSA,MUNICH,Europe,Hub,Gates 91-102,12/31/2018,145,Clean,Very safe,Somewhat satisfied
177,4   996,Friday,LUFTHANSA,MUNICH,Europe,Hub,Gates 91-102,12/31/2018,55,Somewhat clean,Somewhat safe,Neutral
177,5   706,Wednesday,CATHAY PACIFIC,HONG KONG,Asia,Hub,Gates 1-12,12/31/2018,245,Somewhat clean,Very safe,Very satisfied
177,6  1689,Saturday,CATHAY PACIFIC,HONG KONG,Asia,Hub,Gates 1-12,12/31/2018,120,Somewhat clean,Very safe,Somewhat satisfied
177,7  3032,Tuesday,UNITED,PORTLAND,West US,Medium,Gates 70-90,12/31/2018,95,Average,Somewhat safe,Neutral
177,8   704,Thursday,AIR FRANCE/KLM,PARIS-DE GAULLE,Europe,Hub,Gates 1-12,12/31/2018,185,Average,Somewhat safe,Neutral
177,9  1629,Thursday,KOREAN AIR,SEOUL,Asia,Hub,Gates 1-12,12/31/2018,135,Average,Very safe,Somewhat satisfied
178,0  2485,Friday,UNITED,DENVER,West US,Hub,Gates 70-90,12/31/2018,155,Somewhat clean,Somewhat safe,Somewhat satisfied
178,2  3146,Thursday,DELTA,SALT LAKE CITY,West US,Medium,Gates 40-48,12/31/2018,45,Average,Very safe,Neutral
178,5   470,Sunday,UNITED,DENVER,West US,Hub,Gates 70-90,12/31/2018,131,Clean,Neutral,Somewhat satisfied
178,6  1665,Saturday,EMIRATES,DUBAI,Middle East,Hub,Gates 1-12,12/31/2018,132,Clean,Very safe,Very satisfied
